"birthdate","idchild"
2004-06-01,197
2002-12-01,8
2005-03-01,116
2010-05-01,286
2006-08-01,369
2003-12-01,170
2005-10-01,204
2007-10-01,353
2009-04-01,602
2011-09-01,150
2006-12-01,230
2004-09-01,39
2004-01-01,23
2006-10-01,367
2005-05-01,233
2008-01-01,518
2009-07-01,519
2011-07-01,287
2006-01-01,481
2009-02-01,614
2008-01-01,117
2006-07-01,532
2003-08-01,288
2010-04-01,523
2009-01-01,424
2011-11-01,425
2003-12-01,466
2007-05-01,289
2005-10-01,467
2009-10-01,118
2007-12-01,569
2009-11-01,531
2005-06-01,587
2008-01-01,588
2007-05-01,528
2009-08-01,520
2007-03-01,290
2009-08-01,291
2010-03-01,549
2008-01-01,430
2003-02-01,10
2005-12-01,585
2011-11-01,292
2008-04-01,293
2009-01-01,294
2009-07-01,295
2009-09-01,296
2011-12-01,297
2006-02-01,298
2008-11-01,299
2003-02-01,181
2005-12-01,59
2003-04-01,329
2007-07-01,579
2010-05-01,593
2005-08-01,617
2009-12-01,248
2009-12-01,453
2008-06-01,631
2008-09-01,151
2006-10-01,449
2010-07-01,242
2002-09-01,300
2008-01-01,410
2006-02-01,344
2004-02-01,316
2006-03-01,330
2008-03-01,303
2007-05-01,516
2007-05-01,554
2007-03-01,304
2007-03-01,305
2010-06-01,535
2006-10-01,354
2006-10-01,355
2005-06-01,48
2010-05-01,572
2009-01-01,562
2010-12-01,301
2003-08-01,321
2007-10-01,452
2008-08-01,544
2009-11-01,534
2006-01-01,225
2006-03-01,214
2008-06-01,550
2008-09-01,115
2002-09-01,185
2006-09-01,558
2005-12-01,62
2009-05-01,568
2002-08-01,546
2010-03-01,382
2006-02-01,454
2008-02-01,60
2011-05-01,361
2010-05-01,365
2003-06-01,315
2007-03-01,347
2008-09-01,307
2007-10-01,451
2011-03-01,308
2007-04-01,576
2008-10-01,611
2004-01-01,571
2005-12-01,309
2004-04-01,205
2009-07-01,560
2008-08-01,310
2011-05-01,471
2007-01-01,459
2004-03-01,326
2009-05-01,599
2009-05-01,600
2010-12-01,499
2011-02-01,219
2007-05-01,538
2009-01-01,539
2007-02-01,490
2010-07-01,563
2010-01-01,152
2011-03-01,311
2005-04-01,41
2006-04-01,232
2009-02-01,254
2011-05-01,312
2003-04-01,313
2005-10-01,527
2007-01-01,153
2008-07-01,314
2010-11-01,119
2003-01-01,542
2008-03-01,581
2011-10-01,120
2009-03-01,171
2011-10-01,393
2003-05-01,54
2004-02-01,389
2006-06-01,216
2008-01-01,121
2009-03-01,122
2007-04-01,123
2004-02-01,30
2006-08-01,192
2006-08-01,172
2003-02-01,186
2006-12-01,341
2008-07-01,66
2006-03-01,380
2008-06-01,124
2007-05-01,514
2007-09-01,125
2009-04-01,126
2005-05-01,437
2005-05-01,45
2003-06-01,64
2008-07-01,67
2010-06-01,68
2005-09-01,385
2008-10-01,302
2005-03-01,434
2010-03-01,220
2007-03-01,496
2006-05-01,384
2008-02-01,505
2010-05-01,504
2009-07-01,249
2010-02-01,537
2006-09-01,208
2005-03-01,57
2006-07-01,333
2004-02-01,324
2009-01-01,610
2005-02-01,6
2011-02-01,69
2010-11-01,507
2007-01-01,480
2001-07-01,4
2004-04-01,14
2007-03-01,485
2010-06-01,605
2011-01-01,432
2005-08-01,345
2004-07-01,22
2006-02-01,234
2008-04-01,533
2010-07-01,592
2003-05-01,320
2004-10-01,51
2010-08-01,586
2006-03-01,223
2004-08-01,435
2004-08-01,44
2006-10-01,456
2007-07-01,501
2003-01-01,11
2004-09-01,627
2006-08-01,222
2006-11-01,364
2007-06-01,626
2010-03-01,243
2007-09-01,387
2007-10-01,388
2008-02-01,502
2007-11-01,196
2009-05-01,629
2009-04-01,70
2002-05-01,71
2005-09-01,632
2008-08-01,633
2008-11-01,529
2010-09-01,463
2005-11-01,497
2009-08-01,72
2008-04-01,620
2002-11-01,187
2005-05-01,46
2007-07-01,634
2007-02-01,551
2003-07-01,328
2003-07-01,19
2005-05-01,47
2011-04-01,226
2010-09-01,127
2011-02-01,442
2002-07-01,229
2002-07-01,184
2006-07-01,210
2002-04-01,7
2005-11-01,73
2007-10-01,351
2005-06-01,61
2008-10-01,584
2006-06-01,27
2006-08-01,337
2008-06-01,607
2009-01-01,306
2007-08-01,486
2003-05-01,325
2010-06-01,128
2008-02-01,129
2006-02-01,484
2007-09-01,483
2007-01-01,238
2010-10-01,16
2011-08-01,334
2010-06-01,130
2005-05-01,215
2006-12-01,74
2007-12-01,75
2010-12-01,450
2009-06-01,199
2008-05-01,603
2007-04-01,487
2006-07-01,76
2006-02-01,202
2007-06-01,375
2002-10-01,283
2008-09-01,468
2005-08-01,77
2008-11-01,578
2004-11-01,391
2006-11-01,78
2010-12-01,79
2004-12-01,32
2010-09-01,476
2009-03-01,469
2007-02-01,460
2008-10-01,530
2009-07-01,580
2011-04-01,498
2007-11-01,336
2008-01-01,566
2011-05-01,500
2006-03-01,491
2010-08-01,397
2004-05-01,317
2007-03-01,455
2008-10-01,253
2010-04-01,552
2005-07-01,477
2004-01-01,322
2002-01-01,2
2007-01-01,323
2007-09-01,473
2011-07-01,81
2007-04-01,80
2003-12-01,436
2004-02-01,398
2007-07-01,399
2009-05-01,401
2006-03-01,400
2007-12-01,475
2005-12-01,359
2010-06-01,251
2006-07-01,82
2010-02-01,83
2008-08-01,84
2009-04-01,85
2011-02-01,86
2007-12-01,464
2010-06-01,526
2009-03-01,402
2011-08-01,87
2003-06-01,228
2007-04-01,193
2007-10-01,470
2010-01-01,545
2006-03-01,88
2006-10-01,213
2011-06-01,89
2006-03-01,207
2011-06-01,90
2010-07-01,91
2009-07-01,92
2005-07-01,368
2007-02-01,570
2005-11-01,448
2007-02-01,482
2006-10-01,94
2004-09-01,331
2005-04-01,95
2009-12-01,433
2007-11-01,93
2009-10-01,96
2006-05-01,372
2007-09-01,462
2006-03-01,555
2011-04-01,97
2007-04-01,556
2008-12-01,583
2009-02-01,543
2008-02-01,561
2007-12-01,357
2009-09-01,98
2006-06-01,346
2010-03-01,506
2006-09-01,99
2006-08-01,100
2009-08-01,101
2009-10-01,255
2009-01-01,131
2007-05-01,598
2009-03-01,132
2010-12-01,133
2006-06-01,509
2004-06-01,246
2009-09-01,609
2004-10-01,379
2009-01-01,102
2006-11-01,465
2004-11-01,438
2009-03-01,134
2010-12-01,154
2008-09-01,608
2010-06-01,155
2009-05-01,218
2009-10-01,601
2007-08-01,156
2007-08-01,374
2010-09-01,370
2006-04-01,489
2007-07-01,420
2007-12-01,240
2004-04-01,13
2006-02-01,559
2007-09-01,403
2004-05-01,20
2005-09-01,55
2009-05-01,188
2006-05-01,404
2008-12-01,595
2008-12-01,596
2003-11-01,26
2010-10-01,625
2005-04-01,221
2008-03-01,548
2005-05-01,38
2008-06-01,597
2005-05-01,339
2009-10-01,630
2009-10-01,628
2007-06-01,381
2008-03-01,616
2011-10-01,405
2004-12-01,237
2006-07-01,332
2005-10-01,42
2007-11-01,406
2010-10-01,363
2006-01-01,227
2007-03-01,157
2005-03-01,394
2008-03-01,567
2006-06-01,338
2008-11-01,591
2006-09-01,590
2003-09-01,612
2006-07-01,335
2008-12-01,589
2010-08-01,623
2007-05-01,619
2005-12-01,159
2008-06-01,407
2009-10-01,18
2009-03-01,408
2010-06-01,158
2010-07-01,524
2010-08-01,160
2006-06-01,284
2003-03-01,189
2005-02-01,190
2010-01-01,604
2006-03-01,409
2008-11-01,161
2004-04-01,12
2007-08-01,472
2004-11-01,58
2006-10-01,343
2008-07-01,557
2004-05-01,423
2011-06-01,421
2005-10-01,224
2005-09-01,575
2007-02-01,447
2007-09-01,492
2004-07-01,63
2002-07-01,390
2006-05-01,360
2009-05-01,521
2002-04-01,36
2005-05-01,395
2003-01-01,65
2006-11-01,348
2003-06-01,17
2010-12-01,411
2009-10-01,615
2010-08-01,412
2010-03-01,413
2002-11-01,414
2009-07-01,522
2010-11-01,162
2007-11-01,547
2011-01-01,427
2007-05-01,163
2008-07-01,594
2005-11-01,239
2011-09-01,428
2006-02-01,444
2007-09-01,445
2009-04-01,164
2010-07-01,165
2005-11-01,166
2009-11-01,511
2004-07-01,25
2005-02-01,217
2002-08-01,21
2004-09-01,396
2011-12-01,167
2009-01-01,168
2007-03-01,479
2007-03-01,478
2009-07-01,169
2002-02-01,5
2005-05-01,49
2006-10-01,441
2008-07-01,173
2004-03-01,429
2011-02-01,174
2007-08-01,417
2005-12-01,175
2008-03-01,176
2006-04-01,177
2011-11-01,178
2011-07-01,179
2010-01-01,431
2010-06-01,180
